date,ws_mps
2000-01-01,3.0541386355655766
2000-01-02,3.0341748768713606
2000-01-03,3.754651269438378
2000-01-04,3.727657247436684
2000-01-05,5.3649477502137115
2000-01-06,6.051832482694662
2000-01-07,6.147923397338674
2000-01-08,4.822237052442949
2000-01-09,3.3955244243884035
2000-01-10,5.156583164946548
2000-01-11,6.122262635213379
2000-01-12,5.087394448122449
2000-01-13,7.686988852036742
2000-01-14,7.923281468096474
2000-01-15,7.601854955440501
2000-01-16,5.518518358244967
2000-01-17,4.5655266205368745
2000-01-18,4.920216339839649
2000-01-19,5.306415199721352
2000-01-20,5.490187134965855
2000-01-21,3.571368852807248
2000-01-22,4.142885171265183
2000-01-23,4.536808265895486
2000-01-24,4.082485523916136
2000-01-25,4.242056016952958
2000-01-26,4.497732484754753
2000-01-27,5.770565239663326
2000-01-28,5.584681602849505
2000-01-29,5.930228243557279
2000-01-30,4.377951541064204
2000-01-31,3.6233815440270183
2000-02-01,3.719266569077632
2000-02-02,3.068302240136264
2000-02-03,3.5508083395166206
2000-02-04,2.5871010411711923
2000-02-05,2.753381633786269
2000-02-06,2.371012792731065
2000-02-07,3.8394590790136567
2000-02-08,3.5102568991687284
2000-02-09,5.443333414903793
2000-02-10,7.768591676401855
2000-02-11,7.667927838863535
2000-02-12,8.494991429064173
2000-02-13,7.585532048966118
2000-02-14,4.482668674557566
2000-02-15,5.359007309475501
2000-02-16,5.889374563794882
2000-02-17,5.424324278201651
2000-02-18,4.702767921846431
2000-02-19,4.810747274962531
2000-02-20,4.9375927061297835
2000-02-21,4.096367206455466
2000-02-22,3.5445296070679646
2000-02-23,4.6847413458411795
2000-02-24,4.692932277085928
2000-02-25,4.585954481602593
2000-02-26,5.674356123499096
2000-02-27,5.198620398731455
2000-02-28,6.020256887991382
2000-02-29,4.693604079590664
2000-03-01,4.419275112621854
2000-03-02,4.286044575228628
2000-03-03,4.895279139439647
2000-03-04,4.926395625707595
2000-03-05,7.182639930334208
2000-03-06,8.383044158916583
2000-03-07,7.2488431347460285
2000-03-08,9.85216527651947
2000-03-09,7.845415297151177
2000-03-10,9.850054516737233
2000-03-11,7.97830724771746
2000-03-12,8.679513303642738
2000-03-13,7.003690670585841
2000-03-14,6.4827991007442645
2000-03-15,8.24090317072219
2000-03-16,6.081801332446368
2000-03-17,4.249611966678273
2000-03-18,4.33036156468965
2000-03-19,4.6367360526378425
2000-03-20,4.77178558958407
2000-03-21,5.84883250338774
2000-03-22,4.439572119964945
2000-03-23,5.028484281723098
2000-03-24,5.020709472299774
2000-03-25,5.895490068149513
2000-03-26,6.502199876103543
2000-03-27,7.959575115687151
2000-03-28,5.89178961813562
2000-03-29,5.924407570910697
2000-03-30,4.631295407372832
2000-03-31,4.624637187126939
2000-04-01,5.428013402215467
2000-04-02,5.760400498675457
2000-04-03,6.316131795670876
2000-04-04,6.135757538983547
2000-04-05,6.449255335292265
2000-04-06,6.6439060427595225
2000-04-07,8.34838694987712
2000-04-08,9.15726434632494
2000-04-09,6.246528652842655
2000-04-10,6.9683334175320475
