timestamp,turbine_id,power_kw,wind_speed_mps,wind_dir_deg,nacelle_dir_deg,temp_c,status_code
2024-01-01 00:00:00,T01,150.483,5.204,61.033,60.606,24.14,100
2024-01-01 00:10:00,T01,146.019,5.189,117.533,117.106,22.532,100
2024-01-01 00:20:00,T01,136.779,5.151,158.327,157.9,23.301,100
2024-01-01 00:30:00,T01,123.744,5.069,122.423,121.995,23.095,100
2024-01-01 00:40:00,T01,134.368,5.096,218.333,217.906,22.149,100
2024-01-01 00:50:00,T01,111.516,5.012,181.305,180.877,23.133,100
2024-01-01 01:00:00,T01,101.701,4.946,8.64,8.212,22.991,100
2024-01-01 01:10:00,T01,96.114,4.904,191.925,191.498,22.494,100
2024-01-01 01:20:00,T01,97.291,4.922,191.218,190.791,21.683,100
2024-01-01 01:30:00,T01,92.415,4.876,159.735,159.308,21.75,100
2024-01-01 01:40:00,T01,91.183,4.836,164.939,164.512,21.808,100
2024-01-01 01:50:00,T01,79.797,4.812,273.194,272.767,20.746,100
2024-01-01 02:00:00,T01,107.076,4.965,210.259,209.832,20.901,100
2024-01-01 02:10:00,T01,110.278,4.962,180.76,180.333,20.183,100
2024-01-01 02:20:00,T01,105.256,4.935,182.496,182.069,21.543,100
2024-01-01 02:30:00,T01,90.971,4.868,227.928,227.5,20.083,100
2024-01-01 02:40:00,T01,91.279,4.854,334.233,333.806,19.204,100
2024-01-01 02:50:00,T01,76.522,4.751,130.514,130.087,21.052,100
2024-01-01 03:00:00,T01,84.736,4.817,115.631,115.204,17.784,100
2024-01-01 03:10:00,T01,96.024,4.9,193.636,193.208,20.724,100
2024-01-01 03:20:00,T01,73.19,4.736,168.082,167.655,20.119,100
2024-01-01 03:30:00,T01,105.009,4.918,251.718,251.29,17.36,100
2024-01-01 03:40:00,T01,79.475,4.803,189.663,189.236,20.777,100
2024-01-01 03:50:00,T01,91.928,4.851,154.679,154.252,21.006,100
2024-01-01 04:00:00,T01,79.208,4.77,302.858,302.431,19.183,100
2024-01-01 04:10:00,T01,75.179,4.726,239.022,238.595,18.685,100
2024-01-01 04:20:00,T01,69.025,4.732,171.22,170.792,19.645,100
2024-01-01 04:30:00,T01,63.828,4.656,220.661,220.234,18.427,100
2024-01-01 04:40:00,T01,74.602,4.757,294.043,293.615,15.893,100
2024-01-01 04:50:00,T01,76.003,4.746,228.201,227.774,17.334,100
2024-01-01 05:00:00,T01,70.184,4.704,251.646,251.219,19.082,100
2024-01-01 05:10:00,T01,60.864,4.604,126.071,125.644,16.24,100
2024-01-01 05:20:00,T01,68.455,4.694,8.645,8.217,19.301,100
2024-01-01 05:30:00,T01,72.509,4.697,147.986,147.559,16.25,100
2024-01-01 05:40:00,T01,71.021,4.679,276.33,275.902,15.596,100
2024-01-01 05:50:00,T01,67.37,4.68,192.658,192.231,15.657,100
2024-01-01 06:00:00,T01,40.384,4.384,201.715,201.287,17.302,100
2024-01-01 06:10:00,T01,37.566,4.387,168.726,168.299,17.337,100
2024-01-01 06:20:00,T01,42.643,4.439,184.839,184.412,17.029,100
2024-01-01 06:30:00,T01,35.377,4.356,244.92,244.493,18.787,100
2024-01-01 06:40:00,T01,44.322,4.434,71.038,70.611,15.228,100
2024-01-01 06:50:00,T01,41.849,4.422,183.721,183.294,17.544,100
2024-01-01 07:00:00,T01,68.98,4.69,218.471,218.044,17.162,100
2024-01-01 07:10:00,T01,69.76,4.707,287.014,286.587,16.935,100
2024-01-01 07:20:00,T01,64.968,4.67,196.4,195.972,16.208,100
2024-01-01 07:30:00,T01,80.169,4.761,274.741,274.314,16.741,100
2024-01-01 07:40:00,T01,91.76,4.839,199.956,199.529,17.145,100
2024-01-01 07:50:00,T01,69.857,4.688,333.782,333.355,16.54,100
2024-01-01 08:00:00,T01,28.639,4.258,192.72,192.293,14.759,100
2024-01-01 08:10:00,T01,38.525,4.378,231.36,230.933,17.109,100
2024-01-01 08:20:00,T01,50.047,4.516,137.796,137.369,15.307,100
2024-01-01 08:30:00,T01,51.47,4.519,262.112,261.684,16.714,100
